2022-09-26 09:52:36 :: INFO :: Dispatching - Received 8 msg/s , sent 7 msg/s
2022-09-26 09:52:37 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:38 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:39 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:40 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:41 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:42 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:43 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:44 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:45 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:46 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:47 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:48 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:49 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:50 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:51 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:52 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:53 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:54 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:55 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:56 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:57 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:52:58 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:52:59 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:00 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:01 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:02 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:03 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:04 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:05 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:06 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:07 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:08 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:09 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:10 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:11 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:12 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:13 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:14 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:15 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:16 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:17 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:18 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:19 :: INFO :: Dispatching - Received 8 msg/s , sent 3 msg/s
2022-09-26 09:53:20 :: INFO :: Dispatching - Received 8 msg/s , sent 0 msg/s
2022-09-26 09:53:21 :: INFO :: Dispatching - Received 7 msg/s , sent 4 msg/s
2022-09-26 09:53:22 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:23 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:24 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:25 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:26 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:27 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:28 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:29 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:30 :: INFO :: Dispatching - Received 7 msg/s , sent 6 msg/s
2022-09-26 09:53:31 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:32 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:33 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:34 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:35 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:36 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:37 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:38 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:39 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:40 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:41 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:42 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:43 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:44 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:45 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:46 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:47 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:48 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:49 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:50 :: INFO :: Dispatching - Received 8 msg/s , sent 7 msg/s
2022-09-26 09:53:51 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:52 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:53 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:54 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:55 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:56 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:57 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:53:58 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:53:59 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:00 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:01 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:02 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:03 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:04 :: INFO :: Dispatching - Received 8 msg/s , sent 7 msg/s
2022-09-26 09:54:05 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:06 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:07 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:08 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:09 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:10 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:11 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
2022-09-26 09:54:12 :: INFO :: Dispatching - Received 8 msg/s , sent 8 msg/s
2022-09-26 09:54:13 :: INFO :: Dispatching - Received 7 msg/s , sent 7 msg/s
